,Tipo de accidente,Descripción del accidente
1555,Atropello,"Señalizar accidente, atropello, con herido leve(salvo complicaciones), es trasladado al Gregorio Marañón, el vehículo se retira por sus medios."
1556,Colisión de vehículos,"Señalizar vehículos parados, en arcén derecho, mientras hacen parte."
1557,Colisión de vehículos,"Colisión por alcance 2 vehículos, usuarios se encuentran bien, vehículos salen por sus medios."
1558,Salida de vía,Accidente de 1 vehículo por perdida de control golpeandose contra la mediana y alcanzando a otro vehículo que circulaba.
1559,Colisión de vehículos,2 vehículos colisiona por alcance y se detienen con Policía Municipal en la isleta para tomar datos. Se cambia un neumatico de uno de los vehículos implicados y ambos se retiran del punto por sus medios.
1560,Colisión de vehículos,"Accidente entre 2 vehículos por alcance en el carril derecho, cuando llega el vigilante ambos se encuentran el arcén derecho."
1561,Salida de vía,"Accidente de 1 vehículo por salida de vía hacía el lado derecho, 1 herido trasladado al hospital con pronostico reservado y con daños al patrimonio."
1562,Colisión de vehículos,Accidente entre 3 vehículos por alcance. 1 herido trasladado al hospital (mutua) con pronostico leve y los otros 2 vehículos se retiran por sus medios.
1563,Colisión de vehículos,Accidente entre 2 vehículos por alcance que se retiran del punto por sus medios cuando los conductores se toman los datos.
1564,Colisión de vehículos,"Accidente en carril central, señalizo en arcén derecho"
1565,Colisión de vehículos,Accidente entre 3 vehículos por alcance en el carril derecho.
1566,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el arcén derecho y parte de carril.
1567,Colisión de vehículos,"Accidente entre 2 vehículos por alcance ocupando parte de carril, uno de ellos se retira por sus medios y el otro en su grúa."
1568,Salida de vía,"1 turismo realiza una maniobra extraña y hace caer a 1 motocicleta con 2 ocupantes, estos resulta trasladados al hospital con pronostico reservado. La motocicleta es retirada por Policía Municipal empujandola fuera de límites y el turismo por sus medios."
1569,Colisión de vehículos,"Accidente entre 2 vehículos por alcance ocupando el carril derecho, 1 herido leve trasladado al hospital."
1570,Colisión de vehículos,Accidente entre 3 vehículos por alcance ocupando el carril derecho.
1571,Salida de vía,Vehiculo se sale de la via colisionando con la mediana.
1572,Colisión de vehículos,Colisión de 3 ehiculos con desplazamiento de 1 de ellos que colisiona contra barreras causando daños en las mismas.
1573,Colisión de vehículos,Colisión de tres coches por alacance en carril izquierdo. Policía cambia y desplaza los vehiculos alcorte de grada cero. Se activa Samur (no hay daños) para valora usuarios. Nos retiramos del punto.. Solo hay daños materiales en coches.
1574,Colisión de vehículos,"Colisión de vehiculos por alcance, uno se da contra el hastial, araña bordillo 1,5 y le sacamos al exterior. Samur acude al exterior por encontrarse mal el conductor."
1575,Salida de vía,Vehículo se sale de la vía colisionando con muro de hormigón.No hay daños.
1576,Salida de vía,Accidente sin daños a mobiliario.Sacamos al exterior.
1577,Colisión de vehículos,"Colisión de tres vehículos, al llegar al punto policía me indica que me retire"
1578,Colisión de vehículos,Colisión entre dos vehículos en el pk 9+800 policía lo pasa al pk 9+600 arcén derecho. No hay heridos. Sale por sus medios.
1579,Salida de vía,"Señalizar accidente, se da contra el muro.No hay heridos."
1580,Colisión de vehículos,Accidente (chapa) a mi llegada los coches se retiran. No puedo tomar datos.
1581,Otros,Caída de motorista al frenar los vehículos.La moto es retira por policía (base del escuadrón).
1582,Colisión de vehículos,Accidente lateral coche y moto.Motorista herido con dolor en pierna derecha.
1583,Salida de vía,Salida de vía vehículo golpeando la barrera. Cuando llego ya se han marchado y en salida a Chamartín facilita los datos policía.El veh reanuda la marcha por sus medios.
1584,Otros,Accidente de un motorista.Caída sin colisión de ningún coche.En el 15RR05 acudimos con Bul C12.En el punto se presenta policía municipal y Samur.El herido es trasladado al Hospital La Paz.
1585,Vuelco,Vuelco de camión en el ramal 07RT.El herido dado de alta en el lugar.
1586,Colisión de vehículos,Accidente de vehículo.Señalizamos con Bul C-19.Uno de los ocupantes es atendido por Samur.Finalmente lo llevan al Hospital.Los vehículos salen por sus medios.
1587,Colisión de vehículos,Señalizar vehículos accidentados en el arcén derecho.Herido leve trasladado a Hospital.
1588,Colisión de vehículos,Aviso: Accidente en carril derecho con heridos.
1589,Colisión de vehículos,"Aviso de accidente, a mi llegada un vehículo del que no pude coger datos, abandona en grua propia. Según me informa policía es colisión de dos vehículos, sin heridos , ni daños, salen por sus medios y grúa."
1590,Salida de vía,Caída de motorista en calzada
1591,Colisión de vehículos,"Alcance entre vheículos, salen junto con policía antes de la llegada de AIAM"
1592,Colisión de vehículos,"Colisión alcance con heridos, sin daños, margen derecho, carril único, corto en margen derecho hasta que samur atiende al usuario vehículo 1. vehículo 1 sale por sus medios, vehículo 2 carga grúa usuario"
1593,Colisión de vehículos,"Alcance entre dos vehículos, cortamos carril derecho.Los vehículos salen por sus medios."
1594,Otros,Accidente de motorista de policía.Solicitan Samur.A nuestra llegada policía municipal nos dice que nos retiremos que está solucionado.
1595,Otros,"Accidente de motorista, cortamos carril derecho,policía activa Samur. Samur se lleva al motorista al Hospital 12 de Octubre. Y la moto la carga su grúa particular del seguro."
1596,Colisión de vehículos,Accidente (chapa) señalizo.Los conductores tomand datos y se retiran.
1597,Salida de vía,Accidente de salida de vía.El coche pierde el control dando contra el bordillo del lado izq y parando contra la barandilla del lado derecho dañandóla
1598,Colisión de vehículos,Colisión entre 3 vehículos en carril izq con heridos sin daños.Corto carril hasta que Samur atiende y da de alta a dos usuarios del veh 2 . Los vehículos 1 y 2 salen por sus medios.El veh 3 grúa seguro.
1599,Colisión de vehículos,Colisión de 3 vehículos en carril izquierdo  golpeando uno de ellos la barrera causando daños.1 Vehículo lo carga la grúa Ollero y 2 vehículos reanudan la marcha.
1600,Otros,Accidente en carril izquierdo.El herido es trasladado al Hospital La princesa.
1601,Colisión de vehículos, Accidente en arcén derecho. 1 herido leve dado de alta en el lugar.
1603,Colisión de vehículos,Colisión de 2 vehículos en carril izquierdo.Los vehículos son trasladados por los usuarios al ramal 09VA para tomar datos.
1604,Colisión de vehículos,"Aviso de centro de control accidente, al llegar al punto los vehículos no están, policía los ha sacado fuera de zona"
1605,Salida de vía,Aviso de accidente sin herido en ramal.
1606,Colisión de vehículos,Aviso:Accidente margén derecho.Al llegar solo queda un vehículo.
1607,Colisión de vehículos,"Corto carril izquierdo por accidente,vehículo se retiran por sus medios."
1608,Colisión de vehículos,"Colisión por alcance motocicleta y vehiculo, con heridos, herido leve. Corot carril izquierdo. Herido trasladado con fractura."
1609,Salida de vía,"Accidente de un motorista en el 14NC54, a nuestra llegada, arranca la moto y sale por sus medios."
1610,Salida de vía,Salida de via vehiculo colisiona con muro hormigón dañando 12 ml aprox. Sin heridos. Vehiculo retirado por grúa usuari
1611,Colisión de vehículos,2 COCHES EN ARCEN CON Policía tomando datos despues de tener accidente. Señalizo.
1612,Salida de vía,"Salida de via en carril izquierdo, dandose contra el muro."
1613,Colisión de vehículos,"Colisión de 3 vehiculos en carril derecho. Samur presente en el punto, no atiende a ningun usuario. Vehiculo reanudan la marcha."
1614,Colisión de vehículos,"Colisión de 2 veiculos en ramal 10RH. Samur atiende a da alta en punto, 1 vehiculo por su medios, vehiculo 2 grua propia."
1615,Vuelco,"Colisión de vehiuclo con resultado de vuelco del vehiculo 2, cortamos v/s en 01XL50 y carril izquierdo 00RR, hasta que activa Bomberos. Samur atiende a usuario vehiculo 2, dando alta en el punto, vehiculo 1 grua Movilildad, vehiculo 2 gruas Ollero."
1616,Colisión de vehículos,"Pequeña colisión alcance carril derecho, sin heridos, ni daños, corto carril derecho, hasta que realizan parte amistoso. Abandonan por sus medios ambos."
1617,Colisión de vehículos,"Colisión alcance 2 vehiculos carril izquierdo, sin heridos, ni daños, escoltamos a vehiculos a Méndez Álvaro quedandose a espera de grúa y haciendo parte amistoso."
1618,Vuelco,"Vuelco margen derecho con daños y heridos, corte carril derecho. Herido trasladado."
1619,Salida de vía,"Corte total de ramal por salida de via, pasamos vehiculo al arcen derecho. Herido leve trasladado"
1620,Colisión de vehículos,Colisión de 2 vehiculos. Usuarios toman datos en arcen derecho.
1621,Colisión de vehículos,"Colisión de 2 vehiculos por alcance, salen por ss medios cuando llegamos."
1622,Colisión de vehículos,Accidente en carril central. Herido trasladado al Gómez Ulla con pronostico reservado. Retiramos vehiculo 3 al 12RA a espera de Grúa.
1623,Colisión de vehículos,"Colisión alcance moto contra vehiculo carril izquierdo ramal, corto carril izquierdo hasta que Samur atiende y traslada a usuario moto al 12 de Octubre (sin pronosticar)"
1624,Colisión de vehículos,"Colisión de 2 vehiculos, con heridos y sin daños en 2 carriles derechos, corto 2 carriles Samur atiende a 3 perosnas y traslada a 1 de cada vehiculo. Bomberos encuentran y señalzian hasta nuestra llegada."
1625,Colisión de vehículos,Pequeño alcance. Los usuarios cambian datos y salen por sus medios.
1626,Colisión de vehículos,Aviso: accidente en carril izquierdo.
1628,Vuelco,Vuelco en 32RA corte total de ramal. 2 heridos leves dados de alta en punto. Vehiculo retirado por grúa externa m-30
1629,Salida de vía,Salida de via en margen derecho. Herido dado de alta en el punto.
1630,Salida de vía,"Sale de via contra barrera. 30 m barrera, 30 m malla."
1631,Salida de vía,Pierde el control y choca contra la mediana quedando inmovil en carril derecho. Retirado por grúa M-30.
1632,Salida de vía,Alcance entre vehículos. Sale de la vía 1º vehículo e impacta contra barrera. 2º Vehículo reitrado por grúa externa M-30.
1633,Salida de vía,Vehículo que ha derrapado. Existe algo de aceite en calzada debido a la escorrentía de aguas causada por el tráfico. Sacamos el vehículo.
1634,Colisión de vehículos,"Accidente fronto-lateral angular en carril derecho, cortamos dicho carril. Cargamos 1 vehículo y el otro sale por sus medios. Recogemos cristales de calzada."
1635,Salida de vía,"Accidente, salida de vía. Sin daños a patrimonio y un herido leve trasladado al Hospital Ibermutua. El vehículo lo retira grúa del seguro."
1636,Salida de vía,"Accidente salida de vía, sin heridos y con daños a patrimonio."
1637,Salida de vía,Accidente en margen derecho. Se retira por sus propios medios.
1638,Salida de vía,Vehículo que se sale de vía e impactan con señal vertical informativa de vigilancia de cámaras y contra el muro por la parte trasera del vehículo y parándose en isleta. Cortamos carril derecho. Los ocupantes abandonan el punto y cargamos vehículo.
1639,Salida de vía,Accidente en margen izquierdo. Corte total del ramal por orden de policía por seguridad.
1640,Salida de vía,Accidente en margen derecho.  
1641,Salida de vía,Accidente de un vehículo en 15RE. Lo retiramos con C-10.
1642,Colisión de vehículos,Accidente en carril derecho. Herido dado de alta en el punto leve.
1643,Vuelco,"Salida de vía, salta el muro y acaba volcado fuera de la vía. Se corta salida Sinesio Delgado. 1 Herido leve dado de alta en el lugar."
1644,Salida de vía,Accidente en margen derecho
1645,Colisión de vehículos,"Accidente en carril derecho. Tres heridos leves, dos trasladado y uno dado de alta en el punto."
1646,Salida de vía,Salida de vía golpeando muro. Es necesario activar reten para colocarlos.
1647,Salida de vía,Salida de vía en margen izquierdo. Herido trasladado leve.
1648,Salida de vía,Salida de vía contra barrera.
1649,Salida de vía,Salida de vía en margen izquierdo. Corto carril izquierdo. Herido trasladado leve.
1650,Salida de vía,"Accidente, salida de vía, sin daños con herido leve trasladado al Hospital 12 de Octubre. Lo retira grúa del seguro."
1651,Salida de vía,Corto carril derecho por salida de vía.
1652,Colisión de vehículos,Accidente por alcance sin daños a patrimonio ni heridos. Se retiran por sus medios.
1653,Colisión de vehículos,Accidente por alcance en carriles derechos sin daños a patrimonio y con herido leve trasladado al hospital.
1654,Salida de vía,"Accidente, salida de vía sin daños a patrimonio sin heridos. Lo retira grúa del seguro."
1655,Colisión de vehículos,"Aviso del CCT de accidente, policía lo retira"
1656,Salida de vía,Salida de vía en lado izquierdo. Corto lado izquierdo del ramal. Herido leve trasladado (prueba de alcoholemia).
1657,Salida de vía,"Accidente, salida de vía con daños al patrimonio, sin heridos. No tiro fotos de matricula, policía retira el vehículo."
1658,Colisión de vehículos,Accidente lateral sin daños ni heridos en lado derecho. Los vehículos se retiran por sus medios.
1659,Colisión de vehículos,"Corto carril derecho por accidente, los vehículo se retiran por sus medios."
1660,Salida de vía,"Accidente salida de vía, sin heridos y con daños a patrimonio. Lo retira grúa del seguro."
1661,Salida de vía,"Vehículo con rueda reventada por bordillazo, salida de vía. Reconocemos ramal de entrada y no se encuentran daños. Sacamos con platadorma C-10."
1662,Salida de vía,Salida de vía en lado derecho con daños al patrimonio. Corte de carril derecho.
1663,Salida de vía,"Accidente, salida de vía con daños al patrimonio, sin heridos. Grúas Lopez Ollero lo retira fuera de zona."
1664,Salida de vía,Accidente en carril izquierdo. 
1665,Salida de vía,Accidente en carril izquierdo. Herido leve trasladado.
1666,Colisión de vehículos,Alcance entre vehículos en carril derecho. A mi llegada un vehículo ya ha sido retirado y un herido trasladado por SAMUR.
1667,Colisión de vehículos,"Accidente por alcance, 3 vehículos implicados sin heridos. Limpiamos carril derecho central con ayuda de F-60."
1669,Colisión de vehículos,Alcance entre vehículos en carril derecho. Se retiran por sus medios.
1670,Otros,Caida de motorista en carril izquierdo.
1671,Salida de vía,"Salida de vía contra la barrera, rebota contra mediana. 2 Heridos trasladados sin pronóstico."
1673,Salida de vía,Vehículo se sale de la vía colisionando contra el muro izquierdo y cayendo en carril derecho. Herido trasladado por SAMUR con pronóstico reservado.
1674,Colisión de vehículos,Accidente en carril izquierdo. Herido trasladado sin pronóstico.
1675,Colisión de vehículos,Accidente en carriles derechos.
1676,Salida de vía,Caida de motorista contra barrera en lado derecho. Es atendido por SAMUR detrás de la barrera y trasladado al Hospital. Moto retirada por Movilidad.
1677,Otros,"Vehículo con exceso de gálibo, que arranca cable radiante. Solicitamos cesta y saneamos. En esta misma incidencia se detiene un vehículo en 15XC94 que dice haber sido dañado con este desprendimiento. Se le cogen datos y se retira por sus medios. "
1678,Otros,Accidente en arcén derecho. 1 Herido leve dado de alta en el lugar.
1679,Colisión de vehículos,Colisión por alcance con heridos en carril derecho. A mi llegada se retira el vehículo nº 2. Herido dado de alta por SAMUR.
1680,Colisión de vehículos,Caída de motorista al frenarl los coches.Señalizo con policía.
1681,Colisión de vehículos,Alcance entre vehículos
1683,Colisión de vehículos,"Señalizar accidente de 4 vehículos (aviso). No hay heridos,los pasa policía al arcén derecho."
1684,Colisión de vehículos,Colisión por alcance sin heridos.
1685,Colisión de vehículos,Colisión lateral sin heridos con daños.
1686,Colisión de vehículos,Accidente en arcén derecho.3 heridos leves.112
1687,Colisión de vehículos,Aviso accidente 2 vehículos se corta carril derecho.
1688,Colisión de vehículos,Aviso de accidente. A mi llegada se retiran sin posibilidad de coger datos.
1689,Colisión de vehículos,Accidente en carril derecho.Herido trasladado al Hospital Ramón y Cajal.
1690,Salida de vía,"Salida de vía con daños al patrimonio,sin heridos,se corta carrl derecho.Limpio restos.Se saca a la salida de Embajadores para esperar a la grúa."
1691,Colisión de vehículos,Colisión por alcance 2 vehículos.Escoltamos y salen por sus medios.
1692,Colisión de vehículos,Accidente entre 3 vehículos por alcance ocupando el carril derecho. 1 herido trasladado con pronostico reservado al Hospital Ramon y Cajal.
1693,Otros,Caída de motorista.Es atendida y trasladada por Samur.
1694,Colisión de vehículos,Accidente en carril izquierdo.Herido trasladado.
1695,Colisión de vehículos,Accidente entre 1 turismo y 1 motorista por alcance ocupando el carril derecho. 1 herido leve dado de alta en el punto. Ambos vehículos se retiran por sus medios.
1696,Colisión de vehículos,"Accidente por alcance entre 2 vehículos, uno de ellos se detiene en el 12RR y el otro en el 99IT."
1697,Colisión de vehículos,Accidente por alcance entre 3 vehículos ocupando el carril derecho. 2 heridos leves dados de alta en el punto.
1698,Colisión de vehículos,"Accidente por alcance entre 2 vehículos en el carril izquierdo, son trasladados al arcén derecho. 1 herido leve trasladado al hospital."
1699,Colisión de vehículos,Señalizar accidente por alcance entre 3 vehículos ocupando el carril derecho y el arcén.
1700,Colisión de vehículos,Accidente por alcance entre 2 vehículos ocupando parte del carril izquierdo. Uno de los vehículos se retira del punto por sus medios y el otro es sacado por Policía Municipal fuera de zona.
1701,Colisión de vehículos,"Señalizar accidente de 5 vehículos carriles derechos, se corta 2 carriles derechos, ho hay heridos, limpieza de restos cristales."
1702,Colisión de vehículos,"Accidente en carril izquierdo, retiramos el vehículo en arcén derecho."
1703,Colisión de vehículos,"Corto carril derecho por accidente, herido leve dado de alta en el punto, mujer del vehículo 1 se deja la chaqueta en la barrera, la dejo en centro de control."
1704,Salida de vía,"Vehículo 1 colisiona contra mediana quedando vehículo 2,3 y 4, se cortan los 2 carriles izquierdos, conductor del vehículo 1, se marcha corriendo del lugar."
1705,Colisión de vehículos,"Señalizar accidente 2 vehículos carril central,los paso al carril derecho.Se necesitan dos grúas,sin heridos."
1706,Colisión de vehículos,"Accidente por alcance entre 3 vehículos sin heridos,Se marchan por sus medios."
1707,Otros,"Vehículo ardiendo arcén derecho,con ocupante fuera del veh. Corto carril derecho hasta la llegada de policía y Bomberos parque 5ºSin heridos. El veh cargadom por su grúa."
1708,Colisión de vehículos,A nuestra llegada los vehículos reanudan la marcha.Limpiamos restos de cristales la calzada.
1709,Colisión de vehículos,Accidente entre dos vehículos. El veh 1 sale por sus medios y el veh 2 lo sacamos al exteror con el híbrido F-13
1710,Salida de vía,Salida de vía sin daños.Señalizo con policía (el veh se mete e el jardín).El herido dado de alta en el punto.
1711,Atropello,Atropello de peatón andando en carril izquierdo-central. El herido es dado de alta en el punto.
1712,Vuelco,Encuentro el vehículo volcado sin conductorseñalizo.
1713,Vuelco,"Al accidente asiste policía municipal,Samur ,Bomberos del Ayuntamiento y el oficial de guardia de bomberos.Accidente de vuelcolateral sin ocupantes.El veh lo retira policía municipal."
1714,Colisión de vehículos,Colisión alcance carril izquierdo sin heridos ni daños.Abandonando veh 1 por sus medios y veh 2 en grúa Ollero a zona urbana.
1715,Colisión de vehículos,"Alcance entre 2 vehículos,cuando estamos realizando el corte de carril los vehículos reanudan la marcha."
1716,Colisión de vehículos,Accidente sin daños en túnel.Sacamos al exterior al veh3
1717,Salida de vía,Aviso de CCT de salida de vía.Se marcha por sus medios.Bomberos parque nº8 actua en la incidencia.
1718,Colisión de vehículos,Llamada CC accidente trafíco hastial izquierdo. Al llegar nos encontramos en el 13XC70 en carriles izquierdo y central escombros por colisión repartidos hasta 13XC62
1719,Salida de vía,"Salida de via sin heridos, con daños, carril derecho, corto carrilhasta retirada de este con grúa usuario."
1720,Salida de vía,"Vehiculo parado, salimos 3 agentes con C-12 y F-12 al llegar esta Policía. Es un vehiculo que ha gollpeado el bordillo izquierdo y presenta rotura de dirección"
1721,Colisión de vehículos,"Corto carril izquierdo por accidente de 19:14ºa 19:34. saca,os vehiculos al ramal 31RA, arcen derecho."
1722,Colisión de vehículos,"Corto carril derecho por accidente, vehiculo 1 hace maniobra brusca a  la derecha y colisiona con vehiculo 2 moto, esta a su vez produce dañosen bolardo lado derecho, herido con pronostico reservado trasladado a la Paz"
1723,Colisión de vehículos,"Colisión lateral entre trailer y 2 vehiculos, carril derecho, corto 1/4 carril hasta retirada de vehiculo 1 y 2 sus medios, vehiulo 3 Ollero. Sin daños, ni heridos."
1724,Colisión de vehículos,"Aviso de C. Control de accidente en carril izquierdo hasta retirada de estos, uno por sus medios y el otro por gruas Ollero."
1725,Colisión de vehículos,"Accidente en arcen derecho,. A mi llegada solo hay 1 vehicuo."
1726,Colisión de vehículos,"Vehículo que sufre una colisión fuera del túnel y se detiene dentro del mismo, es sacado al exterior con la grúa plataforma C-10."
1727,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el arcén derecho. Sin heridos ni daños al patrimonio. Uno de los vehículos se retira por sus medios y el otro en su grúa.
1728,Colisión de vehículos,"Accidente entre 2 turismos y 2 motorista ocupando el carril derecho, estos últimos resultan heridos y trasladados sin pronosticar a los hospitales 12 de Octubre / Ramon y Cajal."
1729,Colisión de vehículos,"Vehículo accidentado ocupando el carril izquierdo, sin heridos. Se limpia mancha resbaladiza y se retiran restos."
1730,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril izquierdo. 2 heridos leves dados de alta en el punto. Uno de los vehículos es retirado en su grúa y el otro por sus medios.
1731,Colisión de vehículos,"Accidente por alcance entre 1 turismo y 1 motorista ocupando el arcén derecho, este resulta herido leve y trasladado al Hospital 12 de Octubre para realizarle pruebas. La motocicleta es retirada por la grúa de movilidad al deposito de Policía Municipal."
1732,Colisión de vehículos,Accidente por alcance entre 1 turismo y 1 motorista. Se corta el carril izquierdo y parte del carril del ramal 99IL hasta que el Samur atiende a 1 herido leve y lo traslada al Hospital La Paz. Uno de los vehículos se retira por sus medios y el otro en su grúa.
1733,Colisión de vehículos,Accidente por alcance entre 2 vehículos ocupando el carril derecho. Ambos conductores solicitan Samur y ambos son dados de alta en el punto. Uno de los vehículos se retira por sus medios y el otro es sacado al exterior por el Híbrido de Base Valencia.
1734,Salida de vía,Aviso de centro de control de salida de vía con daños con daños en 2 barrras y 2 CPN
1735,Colisión de vehículos,Accidente en carril central. Retiro vehículo al PK 8+200 al carril derecho. Sin heridos
1736,Colisión de vehículos,Accidente sin heridos en carril central. A mi llegado solo hay un vehículo
1737,Colisión de vehículos,"Aviso de accidente anulado, policía lo saca fuera de zona."
1738,Colisión de vehículos,Aviso de centro de contrl de accidente. Los vehículos están en arcén derecho hasta retirada de estos por grúas propias. Un herido trasladado a Ramón y Cajal
1739,Colisión de vehículos,Accidente con heridos en carril derecho. Un herido leve trasladado al Gregorio Marañon
1740,Colisión de vehículos,"Corto carril derecho por accidente, solo queda un vehículo en el punto. Policía no tiene datos del segundo vehículo"
1741,Colisión de vehículos,Señalizar vehículo accidentado en carril derecho
1742,Salida de vía,"Corto carril derecho por accidente (salida de vía), sin daños ni heridos"
1743,Salida de vía,Vehículo que se golpea sin daños a patrimonio. Sacamos al exterior
1744,Colisión de vehículos,Accidente en carriles izquierdos. Herido trasladado sin pronóstico. Grúa movilidad y grúa usuario
1745,Salida de vía,"Aviso de accidente en carril central, cuando estoy haciendo corte desde 31NC10 pasan vehículo al carril derecho. Recojo corte de carriles izquierdos y corto derecho. Bomberos se persona en el punto y no actua. Vehículo retirado por Ollero. Sin ocupantes"
1746,Salida de vía,2 vehiculo colisionan contra el muro sin chocar entre ellos. Un herido leve dado de alta en el lugar
1748,Salida de vía,"Accidente de un vehículo golpeando con el bordillo en hastial derecho en 17XC90, quedándose entre carril derecho y central derecho. Cortamos ambos carriles y cargamos con C-10"
1749,Colisión de vehículos,"Aviso de accidente en carril derecho, según nos informa Policía 3 vehículos implicados, a mi llegada solo hay uno en el punto. Sin daños ni heridos, corto carril derecho hasta retirada de esta en Grúas Ollero"
1750,Colisión de vehículos,Colisión por alcance sin heridos ni daños en carril derecho. Corto carril hasta retirada de estos por sus medios una vez realizados los partes. 
1751,Colisión de vehículos,Accidente sin heridos en carril derecho. A mi llegada retiramos los vehículos a la calle Arturo Soria por orden de Policía
1752,Salida de vía,Colisión lateral de vehículo 1. Cuando estamos cargando y recogiendo con C-10 se accidenta otro vehículo 2. También por salida de vía 100 metros aguas arriba del ramal. Saca híbrido Portugal. Usuario vehículo 1 trasladado al Hospital 12 de Octubre
1753,Salida de vía,Accidente en carril derecho. El vehículo se queda en carril izquierdo. Se corta carril izquierdo. No hay ocupantes en el vehículo
1754,Salida de vía,2 salidas de vía independientes con heridos y daños a patrimonio. Corto carril derecho 31RE hasta que SAMUR atiende y traslada (leve) a usuario del vehículo 2 al Hospital La Paz. Vehículo 1 con grúa propia y 2 también. Dejo señalizado por orden de Policía el 31NC30
1755,Vuelco,Accidente en carril izquierdo. Muro desplazado en margén izquierdo
1756,Colisión de vehículos,Alcance entre vehículos en carril derecho
1757,Salida de vía,Controlado por policía turno tarde.
1758,Colisión de vehículos,"Accidente en carriles derechos. Sin heridos, los vehículos se retiran por sus medios. "
1759,Colisión de vehículos,Colisión de vehículos sin heridos en carril derecho. Se cierra carril derecho.
1760,Colisión de vehículos,Señañozar vehículos accidentados en carril derecho. Se efectúa limpieza y se dejan los daños señalizados. Herido leve trasladado al Hospital
1762,Colisión de vehículos,Alcance leve de dos vehículos en arcén derecho. Conductor de vehículo 1 con dolor cervical indispuesto para conducir. Solicita SAMUR
1763,Colisión de vehículos,Accidente por alcance. A la llega solo hay un vehículo y el otro se ha marchado. Retirado por grúa de usuario
1764,Colisión de vehículos,"Señalizar accidente en carril izquierdo, no hay heridos, se corta carril izquierdo"
1765,Colisión de vehículos,A mi llegada estan los coches en carril derecho con Policía tomamdo datos. Señalizao ( se dieron contra el muro del lado izquierdo)
1766,Colisión de vehículos,Caída de dos motoristas. Una moto colisiona contra el muro y al frenar cae al suelo en carril derecho. A 19:25 retiramos al arcén. Herido trasladado al Hospital de la Princesa con pronóstico reservado. 
1767,Colisión de vehículos,Accidente entre 1 turismo y 1 motocicleta por alcance ocupando ambos el arcén derecho. Sin heridos y sin necesidad de grúas.
1768,Colisión de vehículos,Accidente entre 4 vehículos por alcance ocupando los carriles derechos. Sin heridos ni daños al patrimonio. Son retirados por sus grúas.
1769,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el arcén derecho. La grúa de M-30 llega al punto al mismo tiempo que la grúa del seguro.
1770,Colisión de vehículos,"Accidente entre 2 vehículos por alcance en el carril central, Policía Minicipal los traslada al arcén derecho. "
1771,Colisión de vehículos,"Accidente entre 2 vehículos por alcance ocupando el carril izquierdo, el vigilante los traslada al arcén derecho."
1772,Colisión de vehículos,"Accidente en carril izquierdo,Señalizo con policía, los pasamos al arcén derecho pk 3+800"
1773,Colisión de vehículos,Señalziar vehículosaccidentados en los carriles derechos.
1774,Colisión de vehículos,Señalziar accidente por alcance en carril izquierdo.El veh 1 por su grúa y el veh 2 por Grúas Ollero.
1775,Colisión de vehículos,Señalizar accidente por alcance en carri derecho sin daños al patrimonio y con un herido leve dado de alta en el lugar.
1776,Otros,Caída de motorista sin daños ni heridos.Se corta el ramal 04RM hasta que el herido es atendido y trasladado por Samur (leve).Se queda policía con moto hasta la retirada de esté por su grúa propia en isleta 04XL70
1777,Colisión de vehículos,Accidente por alcance de 3 vehículos en carril izquierdos.Herido coche 2 con dolores cervicales.
1778,Colisión de vehículos,Señalizo colisión lateral sin heridos.
1779,Colisión de vehículos,"Colisión de 3 vehículos en carril izquierdoa nuestra llegada solo queda 1 veh ,cortamos dicho carril.Solicitamos grúa C-10,cargamo9s el vehículoy lo retiramos de calzada.Llegada de la C-10 a las 09:43."
1780,Colisión de vehículos,Señalizo accidente con un herido trasladado en el arcén derecho
1781,Colisión de vehículos,"Accidente,colisión de 2 vehículos por alcance.Salen por sus medios."
1782,Colisión de vehículos,Accidente en carril derecho.1 herido leve trasladado por SUMA al 12 de Octubre.
1784,Otros,Accidente en carril derecho.
1785,Colisión de vehículos,"Señalizar accidente por alcance en el carril central.Sin daños al patrimonio, y con heridos leves atendidos por SUMA dado de alta en el lugar."
1786,Colisión de vehículos,Aviso de accidente entre 2 vehículos por alcance ocupando el carril izquierdo. 1 herido trasladado por el Samur al hospital.
1787,Colisión de vehículos,Accidente entre 4 vehículos por alcance ocupando el carril izquierdo. Cuando llega el vigilante quedan 2 vehículos y hay 1 herido que es trasladado con pronostico reservado.
1789,Colisión de vehículos,Accidente entre 3 vehículos por alcance en el carril derecho. Sin heridos ni daños al patrimonio.
1790,Colisión de vehículos,Accidente entre 4 vehículos por alcance ocupando el arcén derecho. Sin heridos ni daños al patrimonio.
1791,Colisión de vehículos,"Accidente entre 2 vehículos por alcance en el carril izquierdo, son trasladados al arcén derecho. Sin heridos ni daños al patrimonio. Ambos vehículos se retiran por sus medios."
1792,Colisión de vehículos,"Accidente entre 2 vehículos por alcance en el carril izquierdo, 2 heridos sin pronosticar trasladados al hospital."
1793,Colisión de vehículos,"Accidente entre 2 vehículos por alcance ocupando el arcen derecho. Sin heridos ni daños al patrimonio, ambos vehículos se retiran por sus medios."
